,MonthPE,Date,Daily_Temp,Daily_Precip,Daily_Humidity,Daily_Pressure,Daily_WindDir,Daily_WindSpeed,Daily_DNI,Daily_DHI,Daily_radiation
2007-01-01,1,2007-01-01,11.629999999999999,31.830000000000002,97.0,1001.9,210.4,4.54,0.0,38.2,38.2
2007-01-02,1,2007-01-02,6.0,5.54,57.4,1011.4200000000001,310.8,6.36,662.3,40.9,260.2
2007-01-03,1,2007-01-03,6.51,6.790000000000001,67.2,1017.4399999999999,225.7,5.16,589.0,47.3,251.7
2007-01-04,1,2007-01-04,9.18,10.27,81.0,1011.68,232.8,5.01,354.3,88.9,211.8
2007-01-05,1,2007-01-05,13.88,34.87,91.3,1004.53,218.8,5.8,0.0,42.7,42.7
2007-01-06,1,2007-01-06,16.78,25.72,89.4,996.2,242.4,7.0200000000000005,477.1,64.6,230.3
2007-01-07,1,2007-01-07,7.9,9.57,62.3,1016.6200000000001,188.9,1.8199999999999998,593.1,52.9,255.3
2007-01-08,1,2007-01-08,10.1,23.05,92.0,993.53,249.5,6.29,29.6,42.6,46.1
2007-01-09,1,2007-01-09,3.91,6.93,53.0,1000.32,243.2,5.220000000000001,242.0,127.0,199.7
2007-01-10,1,2007-01-10,0.65,4.1899999999999995,51.5,1010.05,299.5,6.33,533.6,69.8,253.9
2007-01-11,1,2007-01-11,-0.23000000000000004,6.88,55.1,1026.6100000000001,227.8,2.37,557.6,69.4,258.3
2007-01-12,1,2007-01-12,7.62,15.809999999999999,58.7,1017.5799999999999,234.6,5.1899999999999995,28.6,81.7,90.8
2007-01-13,1,2007-01-13,10.67,30.189999999999998,94.1,1012.3299999999999,269.9,3.5799999999999996,0.0,65.6,65.6
2007-01-14,1,2007-01-14,6.92,29.54,97.6,1013.2299999999999,38.2,1.58,0.0,46.5,46.5
2007-01-15,1,2007-01-15,8.52,28.880000000000003,95.1,1004.4100000000001,176.8,4.17,0.0,51.5,51.5
2007-01-16,1,2007-01-16,2.54,8.9,60.4,1005.9399999999999,318.1,6.63,0.0,65.2,65.2
2007-01-17,1,2007-01-17,-4.46,2.81,42.8,1027.73,330.4,4.41,730.7,44.5,298.9
2007-01-18,1,2007-01-18,1.23,7.209999999999999,67.5,1023.2700000000001,185.4,4.1,91.8,88.4,119.9
2007-01-19,1,2007-01-19,3.38,7.220000000000001,65.1,998.1,286.3,6.640000000000001,216.4,128.2,209.9
2007-01-20,1,2007-01-20,-1.8181818181818181,3.3272727272727276,46.36363636363637,1004.9181818181819,304.72727272727275,8.854545454545455,469.45454545454544,84.36363636363636,252.9090909090909
2007-01-21,1,2007-01-21,-3.78,5.63,41.8,1017.7,312.1,2.94,259.3,126.1,208.6
2007-01-22,1,2007-01-22,-0.47000000000000003,9.75,74.3,1003.21,317.1,0.67,0.0,51.2,51.2
2007-01-23,1,2007-01-23,0.35454545454545455,6.027272727272727,58.81818181818182,1001.7818181818183,307.27272727272725,3.9818181818181815,404.27272727272725,98.36363636363636,245.54545454545453
2007-01-24,1,2007-01-24,1.8636363636363635,4.809090909090909,57.09090909090909,1004.8818181818183,291.1818181818182,3.127272727272727,229.27272727272728,109.72727272727273,190.36363636363637
2007-01-25,1,2007-01-25,-1.1636363636363638,4.681818181818182,57.72727272727273,999.5818181818181,321.8181818181818,4.3999999999999995,102.45454545454545,104.54545454545455,131.1818181818182
2007-01-26,1,2007-01-26,-8.236363636363636,2.0818181818181816,37.0,1004.3454545454545,308.72727272727275,8.009090909090908,546.3636363636364,81.0909090909091,283.09090909090907
2007-01-27,1,2007-01-27,1.8272727272727274,9.427272727272728,57.27272727272727,997.5090909090909,221.8181818181818,3.909090909090909,2.090909090909091,69.0,69.18181818181819
2007-01-28,1,2007-01-28,3.0727272727272723,8.618181818181817,64.0,994.0909090909091,320.1818181818182,1.9181818181818182,98.27272727272727,136.9090909090909,174.45454545454547
2007-01-29,1,2007-01-29,-3.2545454545454544,2.9,40.72727272727273,1001.9454545454545,311.6363636363636,7.236363636363635,340.6363636363636,132.8181818181818,252.54545454545453
2007-01-30,1,2007-01-30,-0.9454545454545454,4.809090909090909,48.27272727272727,1004.5181818181819,238.1818181818182,4.3999999999999995,370.54545454545456,115.81818181818181,265.3636363636364
2007-01-31,1,2007-01-31,-1.4583333333333333,3.766666666666666,46.333333333333336,1006.4333333333333,302.5833333333333,5.5,539.4166666666666,63.416666666666664,279.1666666666667
2007-02-01,2,2007-02-01,0.6363636363636364,8.709090909090909,55.36363636363637,1006.5909090909091,216.8181818181818,4.672727272727273,19.545454545454547,135.8181818181818,146.0
2007-02-02,2,2007-02-02,3.5545454545454547,13.981818181818182,74.36363636363636,995.2090909090908,130.54545454545453,2.0727272727272728,10.909090909090908,90.36363636363636,94.0909090909091
2007-02-03,2,2007-02-03,-2.658333333333333,2.2916666666666665,39.583333333333336,1003.125,271.6666666666667,6.5,650.5833333333334,49.166666666666664,304.5833333333333
2007-02-04,2,2007-02-04,-5.333333333333333,2.025,30.916666666666668,1007.6333333333333,265.0,6.8,646.1666666666666,53.0,307.5833333333333
2007-02-05,2,2007-02-05,-9.658333333333333,1.4749999999999999,33.083333333333336,1010.3083333333334,287.1666666666667,8.1,635.1666666666666,61.166666666666664,311.6666666666667
2007-02-06,2,2007-02-06,-7.216666666666666,2.25,40.25,1010.9666666666667,282.0833333333333,5.866666666666667,590.0,69.83333333333333,306.25
2007-02-07,2,2007-02-07,-6.536363636363637,2.0545454545454547,35.90909090909091,1003.7,306.90909090909093,6.118181818181818,716.1818181818181,57.45454545454545,350.0
2007-02-08,2,2007-02-08,-5.5249999999999995,2.1333333333333333,39.166666666666664,1003.0500000000001,292.0833333333333,7.5,632.5833333333334,64.25,317.8333333333333
2007-02-09,2,2007-02-09,-3.6666666666666665,3.3833333333333333,40.75,1003.4,298.1666666666667,7.491666666666667,593.8333333333334,73.33333333333333,311.4166666666667
2007-02-10,2,2007-02-10,-1.9181818181818182,3.809090909090909,48.90909090909091,1005.1454545454545,289.09090909090907,4.672727272727273,385.27272727272725,129.72727272727272,303.0
2007-02-11,2,2007-02-11,-3.025,4.05,45.166666666666664,1012.975,262.25,3.3083333333333336,569.6666666666666,79.0,316.0
2007-02-12,2,2007-02-12,1.3499999999999999,9.591666666666667,47.666666666666664,1012.85,282.5833333333333,4.675,155.16666666666666,163.08333333333334,234.91666666666666
2007-02-13,2,2007-02-13,-4.566666666666666,11.958333333333334,39.916666666666664,1017.8833333333333,33.5,4.133333333333334,36.916666666666664,126.5,147.66666666666666
2007-02-14,2,2007-02-14,-1.7727272727272727,19.936363636363637,88.63636363636364,982.0727272727272,199.63636363636363,9.30909090909091,0.0,44.90909090909091,44.90909090909091
2007-02-15,2,2007-02-15,-6.55,2.475,39.5,999.7666666666668,293.75,7.75,122.83333333333333,207.58333333333334,249.83333333333334
2007-02-16,2,2007-02-16,-4.358333333333333,3.0666666666666664,42.5,998.25,286.4166666666667,7.933333333333334,265.4166666666667,186.0,279.3333333333333
